name,author,img_paths,bounding_boxes,text
This is Going to Hurt,Adam Kay,dataset\adjusted_dataset\Medical\0000001.jpg,"[[[98, 39], [405, 39], [405, 119], [98, 119]]]","[""ThIS""]"
"Thinking, Fast and Slow",Daniel Kahneman,dataset\adjusted_dataset\Medical\0000002.jpg,"[[[0, 319], [406, 319], [406, 368], [0, 368]]]","[""Fastand Slow""]"
When Breath Becomes Air,Paul Kalanithi,dataset\adjusted_dataset\Medical\0000003.jpg,"[[[35, 355], [481, 355], [481, 417], [35, 417]]]","[""BECOMES""]"
The Happiness Trap,Russ Harris,dataset\adjusted_dataset\Medical\0000004.jpg,"[[[13, 128], [506, 128], [506, 214], [13, 214]]]","[""HAPPINESS""]"
Man's Search For Meaning,Viktor E. Frankl,dataset\adjusted_dataset\Medical\0000005.jpg,"[[[123, 132], [396, 132], [396, 196], [123, 196]]]","[""Meaning""]"
The Man Who Mistook His Wife for a Hat,Oliver Sacks,dataset\adjusted_dataset\Medical\0000006.jpg,"[[[24, 388], [230, 388], [230, 420], [24, 420]]]","[""Mibeook""]"
The 8-week Blood Sugar Diet,Michael Mosley,dataset\adjusted_dataset\Medical\0000007.jpg,"[[[36, 220], [475, 220], [475, 285], [36, 285]]]","[""blood sugar""]"
The Clever Guts Diet,Michael Mosley,dataset\adjusted_dataset\Medical\0000008.jpg,"[[[74, 102], [383, 102], [383, 176], [74, 176]]]","[""clever""]"
12 Rules for Life,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000009.jpg,"[[[193, 201], [407, 201], [407, 245], [193, 245]]]","[""RULE _""]"
Being Mortal,Atul Gawande,dataset\adjusted_dataset\Medical\0000010.jpg,"[[[73, 295], [453, 295], [453, 355], [73, 355]]]","[""MoRTAL""]"
Gut,Giulia Enders,dataset\adjusted_dataset\Medical\0000011.jpg,"[[[181, 60], [488, 60], [488, 204], [181, 204]]]","[""GUT""]"
The Brain That Changes Itself,Norman Doidge,dataset\adjusted_dataset\Medical\0000012.jpg,"[[[39, 84], [455, 84], [455, 147], [39, 147]]]","[""Changes Ttself""]"
Medical Medium Liver Rescue,Anthony William,dataset\adjusted_dataset\Medical\0000013.jpg,"[[[108, 0], [408, 0], [408, 28], [108, 28]]]","[""MEDICALYEDIUM""]"
Wreck This Journal,Keri Smith,dataset\adjusted_dataset\Medical\0000014.jpg,"[[[108, 219], [373, 219], [373, 286], [108, 286]]]","[""JOURNAL""]"
12 Rules for Life,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000015.jpg,"[[[195, 184], [407, 184], [407, 228], [195, 228]]]","[""RULES""]"
12 Rules for Life,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000016.jpg,"[[[186, 190], [442, 190], [442, 244], [186, 244]]]","[""RULE 5""]"
Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,dataset\adjusted_dataset\Medical\0000017.jpg,"[[[77, 36], [431, 36], [431, 77], [77, 77]]]","[""Guland Peycholopy""]"
Medical Medium Thyroid Healing,Anthony William,dataset\adjusted_dataset\Medical\0000018.jpg,"[[[104, 20], [388, 20], [388, 50], [104, 50]]]","[""MEDICAL MEDIUM""]"
Steal Like an Artist,Austin Kleon,dataset\adjusted_dataset\Medical\0000019.jpg,"[[[73, 185], [432, 185], [432, 287], [73, 287]]]","[""LIKE AN""]"
Sitting Still Like A Frog,Eline Snel,dataset\adjusted_dataset\Medical\0000020.jpg,"[[[68, 0], [444, 0], [444, 61], [68, 61]]]","[""Sitting Still""]"
How Not To Die,Michael Greger,dataset\adjusted_dataset\Medical\0000021.jpg,"[[[167, 81], [341, 81], [341, 123], [167, 123]]]","[""HOW""]"
The Whole-Brain Child,Tina Payne Bryson,dataset\adjusted_dataset\Medical\0000022.jpg,"[[[53, 119], [449, 119], [449, 179], [53, 179]]]","[""WHOLE-BRAIM""]"
Birth Skills,Juju Sundin,dataset\adjusted_dataset\Medical\0000023.jpg,"[[[184, 241], [502, 241], [502, 357], [184, 357]]]","[""skills""]"
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,dataset\adjusted_dataset\Medical\0000024.jpg,"[[[8, 62], [490, 62], [490, 92], [8, 92]]]","[""DIAGNOSIC AND STAMISTICAL""]"
Medical Medium Celery Juice,Anthony William,dataset\adjusted_dataset\Medical\0000025.jpg,"[[[106, 8], [406, 8], [406, 40], [106, 40]]]","[""MEDICAL MEDIUM""]"
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,dataset\adjusted_dataset\Medical\0000026.jpg,"[[[38, 242], [476, 242], [476, 274], [38, 274]]]","[""{and Tour Childrenwvill""]"
Publication Manual of the American Psychological Association,American Psychological Association,dataset\adjusted_dataset\Medical\0000027.jpg,"[[[189, 291], [427, 291], [427, 329], [189, 329]]]","[""Puflicution""]"
Proof of Heaven,Dr. Eben Alexander,dataset\adjusted_dataset\Medical\0000028.jpg,"[[[33, 195], [489, 195], [489, 285], [33, 285]]]","[""PRooF of""]"
The Immortal Life of Henrietta Lacks,Rebecca Skloot,dataset\adjusted_dataset\Medical\0000029.jpg,"[[[186, 74], [487, 74], [487, 139], [186, 139]]]","[""INMORTAL""]"
The Complete Guide to Asperger's Syndrome,Tony Attwood,dataset\adjusted_dataset\Medical\0000030.jpg,"[[[26, 32], [429, 32], [429, 68], [26, 68]]]","[""TheComplete GGuidle""]"
The Checklist Manifesto,Atul Gawande,dataset\adjusted_dataset\Medical\0000031.jpg,"[[[45, 441], [470, 441], [470, 483], [45, 483]]]","[""ATUL GAWANDE""]"
Do No Harm,Henry Marsh,dataset\adjusted_dataset\Medical\0000032.jpg,"[[[70, 326], [445, 326], [445, 393], [70, 393]]]","[""HARM""]"
The Anatomy Coloring Book,Wynn Kapit,dataset\adjusted_dataset\Medical\0000033.jpg,"[[[91, 25], [387, 25], [387, 69], [91, 69]]]","[""ANATOMY""]"
The Plant Paradox,Steven R. Gundry,dataset\adjusted_dataset\Medical\0000034.jpg,"[[[45, 81], [472, 81], [472, 135], [45, 135]]]","[""PA R A D o*""]"
Wreck This Journal Everywhere,Keri Smith,dataset\adjusted_dataset\Medical\0000035.jpg,"[[[171, 255], [439, 291], [430, 336], [162, 300]]]","[""EVE RYWXERI""]"
How to Change Your Mind,Michael Pollan,dataset\adjusted_dataset\Medical\0000036.jpg,"[[[24, 164], [336, 164], [336, 214], [24, 214]]]","[""Rour Mlind""]"
Raising an Emotionally Intelligent Child,John Gottman,dataset\adjusted_dataset\Medical\0000037.jpg,[],[]
Allen Carr's Easy Way to Stop Smoking,Allen Carr,dataset\adjusted_dataset\Medical\0000038.jpg,"[[[25, 64], [490, 64], [490, 137], [25, 137]]]","[""Allen Carr s""]"
The Mindful Way through Depression,J. Mark G. Williams,dataset\adjusted_dataset\Medical\0000039.jpg,"[[[61, 177], [420, 177], [420, 252], [61, 252]]]","[""Depression""]"
