name,author,img_paths,bounding_boxes,text
Peppa Pig: Little Library,Peppa Pig,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000001.jpg,"[[[102, 71], [488, 71], [488, 196], [102, 196]]]","[""'fa} little reere library""]"
I Want My Hat Back,Jon Klassen,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000002.jpg,"[[[86, 32], [444, 32], [444, 100], [86, 100]]]","[""want myhat bacr jon riaka""]"
The Gruffalo,Julia Donaldson,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000003.jpg,"[[[22, 23], [366, 23], [366, 134], [22, 134]]]","[""groffalo""]"
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000004.jpg,"[[[112, 69], [364, 69], [364, 351], [112, 351]]]","[""brisltle ~zite diitter 55cts # untrise""]"
Look Inside Things That Go,Rob Lloyd Jones,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000005.jpg,"[[[41, 87], [462, 87], [462, 202], [41, 202]]]","[""look inside things that go""]"
Rainbow Fish,Marcus Pfister,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000006.jpg,"[[[73, 401], [377, 401], [377, 444], [73, 444]]]","[""thf rainbov""]"
In My Heart:A Book of Feelings,Jo Witek,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000007.jpg,[],[]
The Complete MAUS,Art Spiegelman,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000008.jpg,[],[]
Looking for Alaska,John Green,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000009.jpg,[],[]
Billionaire Boy,David Walliams,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000010.jpg,"[[[2, 23], [507, 23], [507, 220], [2, 220]]]","[""~daw  wallams billonaire boy""]"
Mr Stink,David Walliams,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000011.jpg,"[[[36, 40], [490, 40], [490, 180], [36, 180]]]","[""mr stink ~dand walhthr""]"
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000012.jpg,[],[]
Heartstopper Volume One,ALICE OSEMAN,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000013.jpg,[],[]
Saga Volume 1,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000014.jpg,"[[[81, 343], [422, 343], [422, 458], [81, 458]]]","[""saga""]"
The Story of Ferdinand,Munro Leaf,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000015.jpg,"[[[161, 49], [353, 49], [353, 85], [161, 85]]]","[""tthe stokx""]"
The Hunger Games,Suzanne Collins,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000016.jpg,"[[[34, 430], [478, 430], [478, 498], [34, 498]]]","[""the hunger grmes #uancdn;""]"
Harry Potter and the Philosopher's Stone - Hufflepuff Edition,J. K. Rowling,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000017.jpg,[],[]
Harry Potter and the Goblet of Fire,J. K. Rowling,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000018.jpg,[],[]
Heartstopper Volume Two,ALICE OSEMAN,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000019.jpg,"[[[11, 271], [507, 271], [507, 411], [11, 411]]]","[""heartsteekr alic e dslra\""""]"
"Uzumaki (3-in-1, Deluxe Edition)",Junji Ito,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000020.jpg,"[[[27, 161], [496, 161], [496, 282], [27, 282]]]","[""uzumak i vhii itd""]"
"Batman The Killing Joke, Deluxe Edition",Alan Moore,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000021.jpg,[],[]
Harry Potter and the Cursed Child - Parts One and Two,J. K. Rowling,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000022.jpg,"[[[46, 9], [460, 9], [460, 195], [46, 195]]]","[""harry potter cursedtehild""]"
Persepolis I & II,Marjane Satrapi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000023.jpg,"[[[23, 27], [494, 27], [494, 80], [23, 80]]]","[""persepolis""]"
"My Hero Academia, Vol. 1",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000024.jpg,[],[]
Adulthood Is a Myth,Sarah Andersen,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000025.jpg,"[[[52, 18], [512, 18], [512, 182], [52, 182]]]","[""adulthood i5 a myth a sucktscb>coltcn""]"
Saga Volume 2,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000026.jpg,"[[[78, 337], [428, 337], [428, 470], [78, 470]]]","[""saga""]"
Thing Explainer,Randall Munroe,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000027.jpg,"[[[118, 62], [398, 62], [398, 203], [118, 203]]]","[""thing explainer consutated?tfr in wyple reri?""]"
