name,author,img_paths,bounding_boxes,text
This is Going to Hurt,Adam Kay,dataset\adjusted_dataset\Medical\0000001.jpg,[],[]
"Thinking, Fast and Slow",Daniel Kahneman,dataset\adjusted_dataset\Medical\0000002.jpg,"[[[0, 257], [406, 257], [406, 368], [0, 368]]]","[""thinking: fastand slow""]"
When Breath Becomes Air,Paul Kalanithi,dataset\adjusted_dataset\Medical\0000003.jpg,"[[[35, 355], [481, 355], [481, 496], [35, 496]]]","[""becomes pauldalanthi air""]"
The Happiness Trap,Russ Harris,dataset\adjusted_dataset\Medical\0000004.jpg,"[[[13, 128], [506, 128], [506, 280], [13, 280]]]","[""happiness trap""]"
Man's Search For Meaning,Viktor E. Frankl,dataset\adjusted_dataset\Medical\0000005.jpg,"[[[30, 9], [484, 9], [484, 196], [30, 196]]]","[""viktcre fxnkl man $ search for meaning""]"
The Man Who Mistook His Wife for a Hat,Oliver Sacks,dataset\adjusted_dataset\Medical\0000006.jpg,"[[[9, 285], [507, 285], [507, 452], [9, 452]]]","[""oliver sackts tne mar who mibeook hig vife ecr 4 hat""]"
The 8-week Blood Sugar Diet,Michael Mosley,dataset\adjusted_dataset\Medical\0000007.jpg,"[[[33, 136], [491, 136], [491, 503], [33, 503]]]","[""8-week blood sugar diet lme #aipr lait anu terogjmce twr eodg [df4tint dimut k""]"
The Clever Guts Diet,Michael Mosley,dataset\adjusted_dataset\Medical\0000008.jpg,[],[]
12 Rules for Life,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000009.jpg,"[[[101, 201], [407, 201], [407, 346], [101, 346]]]","[""12 rule _ for life h #atinote t0 \u20achds""]"
Being Mortal,Atul Gawande,dataset\adjusted_dataset\Medical\0000010.jpg,[],[]
Gut,Giulia Enders,dataset\adjusted_dataset\Medical\0000011.jpg,[],[]
The Brain That Changes Itself,Norman Doidge,dataset\adjusted_dataset\Medical\0000012.jpg,"[[[0, 0], [491, 0], [491, 147], [0, 147]]]","[""nobmay doldc e tlie brain thal changes ttself""]"
Medical Medium Liver Rescue,Anthony William,dataset\adjusted_dataset\Medical\0000013.jpg,"[[[103, 0], [411, 0], [411, 109], [103, 109]]]","[""medicalyedium liver""]"
Wreck This Journal,Keri Smith,dataset\adjusted_dataset\Medical\0000014.jpg,"[[[107, 123], [373, 123], [373, 286], [107, 286]]]","[""wreck this journal""]"
12 Rules for Life,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000015.jpg,"[[[101, 184], [407, 184], [407, 330], [101, 330]]]","[""12 rules for life 0r #ttidete 10 c0ko""]"
12 Rules for Life,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000016.jpg,"[[[72, 190], [442, 190], [442, 346], [72, 346]]]","[""1.2 rule 5 fd r life 44 w4tidote 10 chaos""]"
Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,dataset\adjusted_dataset\Medical\0000017.jpg,"[[[77, 36], [431, 36], [431, 109], [77, 109]]]","[""guland peycholopy syndcue""]"
Medical Medium Thyroid Healing,Anthony William,dataset\adjusted_dataset\Medical\0000018.jpg,"[[[38, 41], [474, 41], [474, 229], [38, 229]]]","[""thyroid healing kkkigr \""gkeenatz &os""]"
Steal Like an Artist,Austin Kleon,dataset\adjusted_dataset\Medical\0000019.jpg,"[[[54, 28], [468, 28], [468, 495], [54, 495]]]","[""hriree steal like an artist p jdy rt p aptut ir\"" cpety austin kleon""]"
Sitting Still Like A Frog,Eline Snel,dataset\adjusted_dataset\Medical\0000020.jpg,"[[[54, 0], [464, 0], [464, 126], [54, 126]]]","[""sitting still like a froc mntuing [oriclec rige""]"
How Not To Die,Michael Greger,dataset\adjusted_dataset\Medical\0000021.jpg,[],[]
The Whole-Brain Child,Tina Payne Bryson,dataset\adjusted_dataset\Medical\0000022.jpg,[],[]
Birth Skills,Juju Sundin,dataset\adjusted_dataset\Medical\0000023.jpg,"[[[21, 108], [502, 108], [502, 375], [21, 375]]]","[""juju sundins birth skills \""h *eh munj""]"
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,dataset\adjusted_dataset\Medical\0000024.jpg,"[[[8, 62], [490, 62], [490, 230], [8, 230]]]","[""diagnosic and stamistical manual of menia discrders fifth eoton dsm-5""]"
Medical Medium Celery Juice,Anthony William,dataset\adjusted_dataset\Medical\0000025.jpg,"[[[106, 8], [406, 8], [406, 40], [106, 40]]]","[""medical medium""]"
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,dataset\adjusted_dataset\Medical\0000026.jpg,"[[[26, 185], [488, 185], [488, 305], [26, 305]]]","[""the bccktol vush tour parcnts had read {and tour childrenwvill be glad tha: ycu did}""]"
Publication Manual of the American Psychological Association,American Psychological Association,dataset\adjusted_dataset\Medical\0000027.jpg,[],[]
Proof of Heaven,Dr. Eben Alexander,dataset\adjusted_dataset\Medical\0000028.jpg,"[[[30, 195], [489, 195], [489, 487], [30, 487]]]","[""proof of heaven #nwacnzor] to\""tttp gano i@ndin kmn jnsti\""n w""]"
