name,author,img_paths,bounding_boxes,text
Sapiens,Yuval Noah Harari,dataset\adjusted_dataset\Science-Geography\0000001.jpg,[],[]
When Breath Becomes Air,Paul Kalanithi,dataset\adjusted_dataset\Science-Geography\0000002.jpg,"[[[35, 355], [481, 355], [481, 496], [35, 496]]]","[""becomes pauldalanthi air""]"
Homo Deus,Yuval Noah Harari,dataset\adjusted_dataset\Science-Geography\0000003.jpg,[],[]
Brief Answers to the Big Questions,Stephen Hawking,dataset\adjusted_dataset\Science-Geography\0000004.jpg,"[[[100, 376], [411, 376], [411, 468], [100, 468]]]","[""brief answers tc tne bic questions""]"
The Man Who Mistook His Wife for a Hat,Oliver Sacks,dataset\adjusted_dataset\Science-Geography\0000005.jpg,"[[[9, 285], [507, 285], [507, 452], [9, 452]]]","[""oliver sackts tne mar who mibeook hig vife ecr 4 hat""]"
A Brief History Of Time,Stephen Hawking,dataset\adjusted_dataset\Science-Geography\0000006.jpg,"[[[154, 200], [348, 200], [348, 286], [154, 286]]]","[""brief history of time""]"
The Clever Guts Diet,Michael Mosley,dataset\adjusted_dataset\Science-Geography\0000007.jpg,[],[]
Being Mortal,Atul Gawande,dataset\adjusted_dataset\Science-Geography\0000008.jpg,[],[]
The Power of Habit,Charles Duhigg,dataset\adjusted_dataset\Science-Geography\0000009.jpg,"[[[0, 27], [467, 27], [467, 223], [0, 223]]]","[""tae power 0f aabit yy ybd0*0*j dc ond hov_chonge""]"
Gut,Giulia Enders,dataset\adjusted_dataset\Science-Geography\0000010.jpg,[],[]
The Brain That Changes Itself,Norman Doidge,dataset\adjusted_dataset\Science-Geography\0000011.jpg,"[[[0, 0], [491, 0], [491, 147], [0, 147]]]","[""nobmay doldc e tlie brain thal changes ttself""]"
Astrophysics for People in a Hurry,Neil Degrasse Tyson,dataset\adjusted_dataset\Science-Geography\0000012.jpg,"[[[52, 236], [458, 236], [458, 332], [52, 332]]]","[""481rorat9ic8 jon peorlb hukr""]"
Prisoners of Geography,Tim Marshall,dataset\adjusted_dataset\Science-Geography\0000013.jpg,"[[[106, 162], [488, 162], [488, 244], [106, 244]]]","[""ppisoners ofgeography""]"
What If?,Randall Munroe,dataset\adjusted_dataset\Science-Geography\0000014.jpg,[],[]
"Guns, Germs And Steel",Jared Diamond,dataset\adjusted_dataset\Science-Geography\0000015.jpg,[],[]
Yoga Anatomy,Leslie Kaminoff,dataset\adjusted_dataset\Science-Geography\0000016.jpg,"[[[22, 10], [495, 10], [495, 196], [22, 196]]]","[""ijewi yoga anatomy ialmrna lctele""]"
Where Did I Come From?,Peter Mayle,dataset\adjusted_dataset\Science-Geography\0000017.jpg,[],[]
Lion,Saroo Brierley,dataset\adjusted_dataset\Science-Geography\0000018.jpg,[],[]
A Brief History Of Time,Stephen Hawking,dataset\adjusted_dataset\Science-Geography\0000019.jpg,"[[[131, 481], [369, 481], [369, 497], [131, 497]]]","[""lm d a t e edtoti""]"
Into the Wild,Jon Krakauer,dataset\adjusted_dataset\Science-Geography\0000020.jpg,"[[[100, 138], [412, 138], [412, 374], [100, 374]]]","[""unnto tle wid""]"
A Short History of Nearly Everything,Bill Bryson,dataset\adjusted_dataset\Science-Geography\0000021.jpg,"[[[14, 8], [498, 8], [498, 241], [14, 241]]]","[""bill brysor 4 short histort of nenuy evertthing journethlo cbnd nne""]"
The Salt Path,Raynor Winn,dataset\adjusted_dataset\Science-Geography\0000022.jpg,"[[[30, 318], [227, 318], [227, 426], [30, 426]]]","[""sa path""]"
The Immortal Life of Henrietta Lacks,Rebecca Skloot,dataset\adjusted_dataset\Science-Geography\0000023.jpg,"[[[159, 74], [506, 74], [506, 349], [159, 349]]]","[""inmortal life qf henrjeiia lacks""]"
"Walden: Or, Life in the Woods",Henry David Thoreau,dataset\adjusted_dataset\Science-Geography\0000024.jpg,[],[]
Key Muscles of Yoga: Your Guide to Functional Anatomy in Yoga,Ray Long,dataset\adjusted_dataset\Science-Geography\0000025.jpg,"[[[218, 154], [495, 154], [495, 360], [218, 360]]]","[""the key muscles yoga wchc""]"
Bad Science,Ben Goldacre,dataset\adjusted_dataset\Science-Geography\0000026.jpg,"[[[83, 137], [409, 137], [409, 237], [83, 237]]]","[""science ben goldacre""]"
Thing Explainer,Randall Munroe,dataset\adjusted_dataset\Science-Geography\0000027.jpg,"[[[118, 62], [398, 62], [398, 203], [118, 203]]]","[""thing explainer consutated?tfr in wyple reri?""]"
The Brain's Way of Healing,Norman Doidge,dataset\adjusted_dataset\Science-Geography\0000028.jpg,"[[[38, 335], [439, 335], [439, 413], [38, 413]]]","[""tthz krain< wit of hcaling""]"
The Anatomy Coloring Book,Wynn Kapit,dataset\adjusted_dataset\Science-Geography\0000029.jpg,"[[[35, 25], [443, 25], [443, 128], [35, 128]]]","[""anatomy ccloring book #w\"" ljitvmozt""]"
How to Change Your Mind,Michael Pollan,dataset\adjusted_dataset\Science-Geography\0000030.jpg,[],[]
The Black Swan,Nassim Nicholas Taleb,dataset\adjusted_dataset\Science-Geography\0000031.jpg,"[[[18, 260], [497, 260], [497, 501], [18, 501]]]","[""black swan nassim nicholas taleb h4""]"
The Psychopath Test,Jon Ronson,dataset\adjusted_dataset\Science-Geography\0000032.jpg,"[[[115, 343], [397, 343], [397, 413], [115, 413]]]","[""psychopath test""]"
Seven Brief Lessons on Physics,Carlo Rovelli,dataset\adjusted_dataset\Science-Geography\0000033.jpg,[],[]
Women In Science,Rachel Ignotofsky,dataset\adjusted_dataset\Science-Geography\0000034.jpg,[],[]
The Brain That Changes Itself,Norman Doidge,dataset\adjusted_dataset\Science-Geography\0000035.jpg,"[[[29, 86], [483, 86], [483, 472], [29, 472]]]","[""the b r rin that changes itself esdir_trratrinerk fr3 wlovmier& urjin eei=ue= ncrmandoidce md""]"
This Changes Everything,Naomi Klein,dataset\adjusted_dataset\Science-Geography\0000036.jpg,"[[[13, 44], [410, 44], [410, 314], [13, 314]]]","[""naomi klein thischanhes everytumg 14 iin""]"
Lost Ocean,Johanna Basford,dataset\adjusted_dataset\Science-Geography\0000037.jpg,"[[[101, 208], [410, 208], [410, 359], [101, 359]]]","[""lost ocean""]"
Buddha's Brain,Rick Hanson,dataset\adjusted_dataset\Science-Geography\0000038.jpg,"[[[1, 144], [512, 144], [512, 255], [1, 255]]]","[""buddba' s bram jai nm""]"
A Mind for Numbers,Barbara Oakley,dataset\adjusted_dataset\Science-Geography\0000039.jpg,"[[[26, 23], [488, 23], [488, 226], [26, 226]]]","[""mind 0 for numbers""]"
No One Is Too Small to Make a Difference,Greta Thunberg,dataset\adjusted_dataset\Science-Geography\0000040.jpg,"[[[130, 254], [382, 254], [382, 318], [130, 318]]]","[""jstodemall tomake 4 dufferecce""]"
The Hidden Life of Trees,Peter Wohlleben,dataset\adjusted_dataset\Science-Geography\0000041.jpg,"[[[31, 61], [457, 61], [457, 161], [31, 161]]]","[""ttu hideo lifu trees""]"
The Maze Runner,James Dashner,dataset\adjusted_dataset\Science-Geography\0000042.jpg,[],[]
"Godel, Escher, Bach",Douglas R. Hofstadter,dataset\adjusted_dataset\Science-Geography\0000043.jpg,"[[[30, 380], [482, 380], [482, 459], [30, 459]]]","[""gov ecafk rach: x u wda if""]"
Superintelligence,Nick Bostrom,dataset\adjusted_dataset\Science-Geography\0000044.jpg,"[[[9, 65], [483, 65], [483, 133], [9, 133]]]","[""superintelligence paths-diga subk""]"
How To,Randall Munroe,dataset\adjusted_dataset\Science-Geography\0000045.jpg,[],[]
You Are the Placebo,Joe Dispenza,dataset\adjusted_dataset\Science-Geography\0000046.jpg,"[[[58, 0], [452, 0], [452, 94], [58, 94]]]","[""yod are the placebo nito yotrmtd ncllet""]"
Fooled by Randomness,Nassim Nicholas Taleb,dataset\adjusted_dataset\Science-Geography\0000047.jpg,"[[[41, 155], [506, 155], [506, 372], [41, 372]]]","[""fooled by randomness ta hiddenacl 0i chmramlile eunt hankels""]"
A Brief History of Mathematical Thought,Luke Heaton,dataset\adjusted_dataset\Science-Geography\0000048.jpg,"[[[0, 0], [512, 0], [512, 494], [0, 494]]]","[""}3c wke heatdh mathematical brie1 histey of kex tcucents adgteie 1nzy (ome jioti thought""]"
So You've Been Publicly Shamed,Jon Ronson,dataset\adjusted_dataset\Science-Geography\0000049.jpg,"[[[11, 407], [512, 407], [512, 512], [11, 512]]]","[""soyou've been publicly shamed""]"
The Selfish Gene,Richard Dawkins,dataset\adjusted_dataset\Science-Geography\0000050.jpg,"[[[15, 29], [495, 29], [495, 356], [15, 356]]]","[""richard dawkins the selfish gene 4ri anniyersary rctan4""]"
Flatland,Edwin A. Abbott,dataset\adjusted_dataset\Science-Geography\0000051.jpg,[],[]
An Introductory Guide to Anatomy & Physiology,Louise Tucker,dataset\adjusted_dataset\Science-Geography\0000052.jpg,"[[[32, 27], [372, 27], [372, 156], [32, 156]]]","[""anktojusct sucl1o anatomy &physiology""]"
The Scorch Trials,James Dashner,dataset\adjusted_dataset\Science-Geography\0000053.jpg,[],[]
A Really Short History of Nearly Everything,Bill Bryson,dataset\adjusted_dataset\Science-Geography\0000054.jpg,"[[[19, 6], [494, 6], [494, 449], [19, 449]]]","[""bill bryson realll short hsto3y @flelely evertthing""]"
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,dataset\adjusted_dataset\Science-Geography\0000055.jpg,[],[]
The Magic of Reality,Richard Dawkins,dataset\adjusted_dataset\Science-Geography\0000056.jpg,"[[[66, 220], [487, 220], [487, 431], [66, 431]]]","[""magic of cality ~hnamu rn""]"
Free Will,Sam Harris,dataset\adjusted_dataset\Science-Geography\0000057.jpg,[],[]
An Astronaut's Guide to Life on Earth,Chris Hadfield,dataset\adjusted_dataset\Science-Geography\0000058.jpg,"[[[10, 292], [501, 292], [501, 494], [10, 494]]]","[""astronaut 5 guide to life on earth life lscnsec,imace""]"
Surely You're Joking Mr Feynman,Richard P. Feynman,dataset\adjusted_dataset\Science-Geography\0000059.jpg,"[[[243, 11], [499, 11], [499, 114], [243, 114]]]","[""surely rorne jcxig kii feyimol!""]"
Mathematical Mindsets,Jo Boaler,dataset\adjusted_dataset\Science-Geography\0000060.jpg,"[[[34, 96], [479, 96], [479, 205], [34, 205]]]","[""mathematical mindsets""]"
Rewire Your Anxious Brain,Catherine M. Pittman,dataset\adjusted_dataset\Science-Geography\0000061.jpg,[],[]
Key Poses of Yoga: the Scientific Keys Vol 2,Ray Long,dataset\adjusted_dataset\Science-Geography\0000062.jpg,"[[[240, 162], [492, 162], [492, 376], [240, 376]]]","[""the key poses yoga zatloan;wd[a""]"
The Emperor of All Maladies,Siddhartha Mukherjee,dataset\adjusted_dataset\Science-Geography\0000063.jpg,"[[[27, 59], [479, 59], [479, 190], [27, 190]]]","[""tbe emperor & almlaladies fictrpsorcint""]"
Behave,Robert M. Sapolsky,dataset\adjusted_dataset\Science-Geography\0000064.jpg,[],[]
The Talent Code,Daniel Coyle,dataset\adjusted_dataset\Science-Geography\0000065.jpg,[],[]
Cosmos,Carl Sagan,dataset\adjusted_dataset\Science-Geography\0000066.jpg,[],[]
The Demon-Haunted World,Carl Sagan,dataset\adjusted_dataset\Science-Geography\0000067.jpg,"[[[13, 23], [512, 23], [512, 289], [13, 289]]]","[""carl sagan demonaunted ud""]"
Gratitude,Oliver Sacks,dataset\adjusted_dataset\Science-Geography\0000068.jpg,"[[[55, 65], [461, 65], [461, 133], [55, 133]]]","[""gratitude""]"
Into the Wild,Jon Krakauer,dataset\adjusted_dataset\Science-Geography\0000069.jpg,"[[[126, 35], [492, 35], [492, 97], [126, 97]]]","[""intothewild jon frakauat""]"
Trail Guide to the Body,R.  Andrew Biel,dataset\adjusted_dataset\Science-Geography\0000070.jpg,"[[[43, 18], [502, 18], [502, 148], [43, 148]]]","[""trail guide to the body""]"
The Man Who Mistook His Wife for a Hat,Oliver Sacks,dataset\adjusted_dataset\Science-Geography\0000071.jpg,[],[]
When Breath Becomes Air,Paul Kalanithi,dataset\adjusted_dataset\Science-Geography\0000072.jpg,"[[[33, 193], [481, 193], [481, 496], [33, 496]]]","[""when breath becomes pauldalanthi air""]"
Invisible Women,Caroline Criado Perez,dataset\adjusted_dataset\Science-Geography\0000073.jpg,[],[]
Why Does E=mc2?,Brian Cox,dataset\adjusted_dataset\Science-Geography\0000074.jpg,"[[[95, 141], [458, 141], [458, 221], [95, 221]]]","[""e\""nc'? why docs""]"
This Is Not A Drill,Extinction Rebellion,dataset\adjusted_dataset\Science-Geography\0000075.jpg,"[[[19, 23], [461, 23], [461, 479], [19, 479]]]","[""this is not a drill extintoiao tebelion hentong""]"
This Is Your Brain On Music,Daniel J. Levitin,dataset\adjusted_dataset\Science-Geography\0000076.jpg,"[[[51, 94], [461, 94], [461, 356], [51, 356]]]","[""this i5 your brainon music lanlleytn""]"
Let My People Go Surfing,Yvon Chouinard,dataset\adjusted_dataset\Science-Geography\0000077.jpg,"[[[90, 71], [420, 71], [420, 224], [90, 224]]]","[""let my people 99 surfing""]"
The God Delusion,Richard Dawkins,dataset\adjusted_dataset\Science-Geography\0000078.jpg,"[[[32, 69], [492, 69], [492, 374], [32, 374]]]","[""richard damk14s the god delusior""]"
Life 3.0,Max Tegmark,dataset\adjusted_dataset\Science-Geography\0000079.jpg,"[[[74, 212], [436, 212], [436, 288], [74, 288]]]","[""life 30""]"
The Happiness Hypothesis,Jonathan Haidt,dataset\adjusted_dataset\Science-Geography\0000080.jpg,"[[[234, 334], [484, 334], [484, 459], [234, 459]]]","[""the happiness hypothesis jjnharamvt =r1""]"
Alan Turing: The Enigma,Andrew Hodges,dataset\adjusted_dataset\Science-Geography\0000081.jpg,"[[[37, 369], [469, 369], [469, 445], [37, 445]]]","[""alan turing: tae enigma""]"
Immortal Life of Henrietta Lacks,Rebecca Skloot,dataset\adjusted_dataset\Science-Geography\0000082.jpg,[],[]
The Invention of Nature,Andrea Wulf,dataset\adjusted_dataset\Science-Geography\0000083.jpg,"[[[117, 211], [409, 211], [409, 255], [117, 255]]]","[""nature""]"
Storm in a Teacup,Helen Czerski,dataset\adjusted_dataset\Science-Geography\0000084.jpg,"[[[59, 107], [447, 107], [447, 350], [59, 350]]]","[""stsrmj iu teacup finae phts1s of eyerldat dfe""]"
